prodcode,description,drugsubstance
53626,"Naproxen 500mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)",Naproxen
36650,"Nurofen 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
36650,"Nurofen 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
36650,"Nurofen 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
26165,"Diclofenac sodium 50mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
26165,"Diclofenac sodium 50mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
26165,"Diclofenac sodium 50mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
3275,"Benoral 2g/5ml oral suspension (Sanofi-Synthelabo Ltd)",Benorilate
34729,"Ibuprofen 400mg tablets (OBG Pharmaceuticals Ltd)",Ibuprofen
34729,"Ibuprofen 400mg tablets (OBG Pharmaceuticals Ltd)",Ibuprofen
34729,"Ibuprofen 400mg tablets (OBG Pharmaceuticals Ltd)",Ibuprofen
26351,"Rheumatac Retard 75 tablets (AMCo)","Diclofenac sodium"
26351,"Rheumatac Retard 75 tablets (AMCo)","Diclofenac sodium"
26351,"Rheumatac Retard 75 tablets (AMCo)","Diclofenac sodium"
59553,"Ibuprofen 200mg tablets (Alliance Healthcare (Distribution) Ltd)",Ibuprofen
4692,"Dicloflex 50mg gastro-resistant tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
4692,"Dicloflex 50mg gastro-resistant tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
4692,"Dicloflex 50mg gastro-resistant tablets (Dexcel-Pharma Ltd)","Diclofenac sodium"
41621,"Piroxicam 20mg capsules (A A H Pharmaceuticals Ltd)",Piroxicam
41621,"Piroxicam 20mg capsules (A A H Pharmaceuticals Ltd)",Piroxicam
41621,"Piroxicam 20mg capsules (A A H Pharmaceuticals Ltd)",Piroxicam
33704,"Ibuprofen 100mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)",Ibuprofen
33704,"Ibuprofen 100mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)",Ibuprofen
33704,"Ibuprofen 100mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)",Ibuprofen
30327,"Jomethid XL 200mg capsules (Actavis UK Ltd)",Ketoprofen
30327,"Jomethid XL 200mg capsules (Actavis UK Ltd)",Ketoprofen
41450,"Orudis 100mg suppositories (Sanofi)",Ketoprofen
32234,"Mefenamic acid 500mg tablets (IVAX Pharmaceuticals UK Ltd)","Mefenamic acid"
32234,"Mefenamic acid 500mg tablets (IVAX Pharmaceuticals UK Ltd)","Mefenamic acid"
32234,"Mefenamic acid 500mg tablets (IVAX Pharmaceuticals UK Ltd)","Mefenamic acid"
34487,"Diclofenac sodium 50mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)","Diclofenac sodium"
34487,"Diclofenac sodium 50mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)","Diclofenac sodium"
34487,"Diclofenac sodium 50mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)","Diclofenac sodium"
4631,"Voltarol 50mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
4631,"Voltarol 50mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
4631,"Voltarol 50mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
32641,"Indometacin 25mg capsules (A A H Pharmaceuticals Ltd)",Indometacin
32641,"Indometacin 25mg capsules (A A H Pharmaceuticals Ltd)",Indometacin
46968,"Mefenamic acid 250mg capsules (Mylan)","Mefenamic acid"
46968,"Mefenamic acid 250mg capsules (Mylan)","Mefenamic acid"
46968,"Mefenamic acid 250mg capsules (Mylan)","Mefenamic acid"
74641,"Fenbufen 450mg tablets (A A H Pharmaceuticals Ltd)",Fenbufen
10917,"Flamrase SR 100mg tablets (Teva UK Ltd)","Diclofenac sodium"
10917,"Flamrase SR 100mg tablets (Teva UK Ltd)","Diclofenac sodium"
10917,"Flamrase SR 100mg tablets (Teva UK Ltd)","Diclofenac sodium"
3182,"Froben 50mg tablets (Abbott Laboratories Ltd)",Flurbiprofen
3182,"Froben 50mg tablets (Abbott Laboratories Ltd)",Flurbiprofen
3182,"Froben 50mg tablets (Abbott Laboratories Ltd)",Flurbiprofen
4625,"Voltarol 75mg SR tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
4625,"Voltarol 75mg SR tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
4625,"Voltarol 75mg SR tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
40401,"Naproxen 250mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)",Naproxen
40401,"Naproxen 250mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)",Naproxen
40401,"Naproxen 250mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)",Naproxen
16001,"Ibuprofen 200mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
16001,"Ibuprofen 200mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
16001,"Ibuprofen 200mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
32090,"Mefenamic acid 500mg tablets (Actavis UK Ltd)","Mefenamic acid"
32090,"Mefenamic acid 500mg tablets (Actavis UK Ltd)","Mefenamic acid"
32090,"Mefenamic acid 500mg tablets (Actavis UK Ltd)","Mefenamic acid"
51829,"Naproxen 250mg tablets (Kent Pharmaceuticals Ltd)",Naproxen
15005,"Indomod 25mg modified-release capsules (Pfizer Ltd)",Indometacin
32875,"Ibuprofen 400mg tablets (Sandoz Ltd)",Ibuprofen
32875,"Ibuprofen 400mg tablets (Sandoz Ltd)",Ibuprofen
32875,"Ibuprofen 400mg tablets (Sandoz Ltd)",Ibuprofen
24121,"Diclofenac sodium 25mg gastro-resistant tablets (Actavis UK Ltd)","Diclofenac sodium"
24121,"Diclofenac sodium 25mg gastro-resistant tablets (Actavis UK Ltd)","Diclofenac sodium"
24121,"Diclofenac sodium 25mg gastro-resistant tablets (Actavis UK Ltd)","Diclofenac sodium"
55099,"Acoflam 100mg Retard tablets (Mercury Pharma Group Ltd)","Diclofenac sodium"
13347,"Alrheumat 50mg Capsule (Bayer Plc)",Ketoprofen
4806,"Voltarol 100mg suppositories (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
57943,"Valket 200 Retard capsules (Tillomed Laboratories Ltd)",Ketoprofen
31959,"Indometacin 50mg capsules (A A H Pharmaceuticals Ltd)",Indometacin
31959,"Indometacin 50mg capsules (A A H Pharmaceuticals Ltd)",Indometacin
13818,"Nabumetone 500mg tablets (Actavis UK Ltd)",Nabumetone
13818,"Nabumetone 500mg tablets (Actavis UK Ltd)",Nabumetone
13818,"Nabumetone 500mg tablets (Actavis UK Ltd)",Nabumetone
31916,"Tiloket CR 100mg capsules (Tillomed Laboratories Ltd)",Ketoprofen
31916,"Tiloket CR 100mg capsules (Tillomed Laboratories Ltd)",Ketoprofen
31916,"Tiloket CR 100mg capsules (Tillomed Laboratories Ltd)",Ketoprofen
2386,"Voltarol Retard 100mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
2386,"Voltarol Retard 100mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
2386,"Voltarol Retard 100mg tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
34980,"Ibuprofen 200mg tablets sugar coated (Actavis UK Ltd)",Ibuprofen
34980,"Ibuprofen 200mg tablets sugar coated (Actavis UK Ltd)",Ibuprofen
34980,"Ibuprofen 200mg tablets sugar coated (Actavis UK Ltd)",Ibuprofen
4506,"Volsaid Retard 75 tablets (Chiesi Ltd)","Diclofenac sodium"
4506,"Volsaid Retard 75 tablets (Chiesi Ltd)","Diclofenac sodium"
4506,"Volsaid Retard 75 tablets (Chiesi Ltd)","Diclofenac sodium"
3496,"Nycopren 250mg gastro-resistant tablets (Ardern Healthcare Ltd)",Naproxen
3496,"Nycopren 250mg gastro-resistant tablets (Ardern Healthcare Ltd)",Naproxen
53164,"Diclofenac sodium 25mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)","Diclofenac sodium"
9474,"Preservex 100mg tablets (Almirall Ltd)",Aceclofenac
9474,"Preservex 100mg tablets (Almirall Ltd)",Aceclofenac
9474,"Preservex 100mg tablets (Almirall Ltd)",Aceclofenac
60916,"Indometacin 75mg modified-release capsules (Kent Pharmaceuticals Ltd)",Indometacin
29749,"Ibuprofen 200mg tablets (Ranbaxy (UK) Ltd)",Ibuprofen
29749,"Ibuprofen 200mg tablets (Ranbaxy (UK) Ltd)",Ibuprofen
29749,"Ibuprofen 200mg tablets (Ranbaxy (UK) Ltd)",Ibuprofen
16170,"Fenbufen 300mg capsules (Genus Pharmaceuticals Ltd)",Fenbufen
16170,"Fenbufen 300mg capsules (Genus Pharmaceuticals Ltd)",Fenbufen
16170,"Fenbufen 300mg capsules (Genus Pharmaceuticals Ltd)",Fenbufen
27082,"Ketpron XL 100mg capsules (Mercury Pharma Group Ltd)",Ketoprofen
27082,"Ketpron XL 100mg capsules (Mercury Pharma Group Ltd)",Ketoprofen
8401,"Motrin 400mg tablets (Pfizer Ltd)",Ibuprofen
8401,"Motrin 400mg tablets (Pfizer Ltd)",Ibuprofen
41513,"Ibuprofen 200mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
41513,"Ibuprofen 200mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
41513,"Ibuprofen 200mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
5080,"Celebrex 200mg capsules (Pfizer Ltd)",Celecoxib
5080,"Celebrex 200mg capsules (Pfizer Ltd)",Celecoxib
5080,"Celebrex 200mg capsules (Pfizer Ltd)",Celecoxib
34536,"Ibuprofen 400mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
34536,"Ibuprofen 400mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
34536,"Ibuprofen 400mg tablets (IVAX Pharmaceuticals UK Ltd)",Ibuprofen
40141,"Ketoprofen 100mg capsules (A A H Pharmaceuticals Ltd)",Ketoprofen
40141,"Ketoprofen 100mg capsules (A A H Pharmaceuticals Ltd)",Ketoprofen
40141,"Ketoprofen 100mg capsules (A A H Pharmaceuticals Ltd)",Ketoprofen
39085,"Naproxen 250mg tablets (A A H Pharmaceuticals Ltd)",Naproxen
39085,"Naproxen 250mg tablets (A A H Pharmaceuticals Ltd)",Naproxen
39085,"Naproxen 250mg tablets (A A H Pharmaceuticals Ltd)",Naproxen
48138,"Ibuprofen 200mg tablets (Aspar Pharmaceuticals Ltd)",Ibuprofen
48138,"Ibuprofen 200mg tablets (Aspar Pharmaceuticals Ltd)",Ibuprofen
48138,"Ibuprofen 200mg tablets (Aspar Pharmaceuticals Ltd)",Ibuprofen
2288,"Naprosyn 250mg tablets (Atnahs Pharma UK Ltd)",Naproxen
2288,"Naprosyn 250mg tablets (Atnahs Pharma UK Ltd)",Naproxen
2288,"Naprosyn 250mg tablets (Atnahs Pharma UK Ltd)",Naproxen
920,"Indocid 100mg suppositories (Merck Sharp & Dohme Ltd)",Indometacin
37053,"Migrafen 200mg tablets (Chatfield Laboratories)",Ibuprofen
37053,"Migrafen 200mg tablets (Chatfield Laboratories)",Ibuprofen
14672,"Defanac 75mg SR tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
14672,"Defanac 75mg SR tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
14672,"Defanac 75mg SR tablets (Ranbaxy (UK) Ltd)","Diclofenac sodium"
21846,"Pirozip 20 capsules (Ashbourne Pharmaceuticals Ltd)",Piroxicam
21846,"Pirozip 20 capsules (Ashbourne Pharmaceuticals Ltd)",Piroxicam
18234,"Rheumacin LA 75mg capsules (Hillcross Pharmaceuticals Ltd)",Indometacin
18234,"Rheumacin LA 75mg capsules (Hillcross Pharmaceuticals Ltd)",Indometacin
11215,"Voltarol 25mg suppositories (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
19046,"Ibuprofen 400mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
19046,"Ibuprofen 400mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
19046,"Ibuprofen 400mg tablets (A A H Pharmaceuticals Ltd)",Ibuprofen
38770,"Lodine SR 600mg tablets (Almirall Ltd)",Etodolac
38770,"Lodine SR 600mg tablets (Almirall Ltd)",Etodolac
38770,"Lodine SR 600mg tablets (Almirall Ltd)",Etodolac
31383,"Dexomon 75mg SR tablets (Hillcross Pharmaceuticals Ltd)","Diclofenac sodium"
31383,"Dexomon 75mg SR tablets (Hillcross Pharmaceuticals Ltd)","Diclofenac sodium"
31383,"Dexomon 75mg SR tablets (Hillcross Pharmaceuticals Ltd)","Diclofenac sodium"
25341,"Arthrosin EC 250 tablets (Ashbourne Pharmaceuticals Ltd)",Naproxen
25341,"Arthrosin EC 250 tablets (Ashbourne Pharmaceuticals Ltd)",Naproxen
41622,"Piroxicam 10mg capsules (A A H Pharmaceuticals Ltd)",Piroxicam
41622,"Piroxicam 10mg capsules (A A H Pharmaceuticals Ltd)",Piroxicam
41622,"Piroxicam 10mg capsules (A A H Pharmaceuticals Ltd)",Piroxicam
15068,"Arthrofen 400 tablets (Ashbourne Pharmaceuticals Ltd)",Ibuprofen
15068,"Arthrofen 400 tablets (Ashbourne Pharmaceuticals Ltd)",Ibuprofen
34743,"Naproxen 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",Naproxen
34743,"Naproxen 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",Naproxen
34743,"Naproxen 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)",Naproxen
61469,"Fenbufen 300mg capsules (A A H Pharmaceuticals Ltd)",Fenbufen
538,"Vioxx 12.5mg tablets (Merck Sharp & Dohme Ltd)",Rofecoxib
538,"Vioxx 12.5mg tablets (Merck Sharp & Dohme Ltd)",Rofecoxib
666,"Vioxx 25mg tablets (Merck Sharp & Dohme Ltd)",Rofecoxib
666,"Vioxx 25mg tablets (Merck Sharp & Dohme Ltd)",Rofecoxib
6460,"VioxxAcute 25mg tablets (Merck Sharp & Dohme Ltd)",Rofecoxib
6460,"VioxxAcute 25mg tablets (Merck Sharp & Dohme Ltd)",Rofecoxib
5695,"VioxxAcute 50mg tablets (Merck Sharp & Dohme Ltd)",Rofecoxib
5695,"VioxxAcute 50mg tablets (Merck Sharp & Dohme Ltd)",Rofecoxib
613,"Vioxx 12.5mg/5ml oral suspension (Merck Sharp & Dohme Ltd)",Rofecoxib
613,"Vioxx 12.5mg/5ml oral suspension (Merck Sharp & Dohme Ltd)",Rofecoxib
5739,"Vioxx 25mg/5ml oral suspension (Merck Sharp & Dohme Ltd)",Rofecoxib
5739,"Vioxx 25mg/5ml oral suspension (Merck Sharp & Dohme Ltd)",Rofecoxib
16473,"Relifex 500mg dispersible tablets (Meda Pharmaceuticals Ltd)",Nabumetone
16473,"Relifex 500mg dispersible tablets (Meda Pharmaceuticals Ltd)",Nabumetone
13606,"Flexin-25 Continus tablets (Napp Pharmaceuticals Ltd)",Indometacin
13639,"Flexin-50 Continus tablets (Napp Pharmaceuticals Ltd)",Indometacin
9637,"Keral 25mg tablets (A. Menarini Farmaceutica Internazionale SRL)","Dexketoprofen trometamol"
9637,"Keral 25mg tablets (A. Menarini Farmaceutica Internazionale SRL)","Dexketoprofen trometamol"
9637,"Keral 25mg tablets (A. Menarini Farmaceutica Internazionale SRL)","Dexketoprofen trometamol"
36606,"Manorfen 400mg tablets (The Manor Drug Company (Nottingham) Ltd)",Ibuprofen
36606,"Manorfen 400mg tablets (The Manor Drug Company (Nottingham) Ltd)",Ibuprofen
2235,"Relifex 500mg tablets (Meda Pharmaceuticals Ltd)",Nabumetone
2235,"Relifex 500mg tablets (Meda Pharmaceuticals Ltd)",Nabumetone
2235,"Relifex 500mg tablets (Meda Pharmaceuticals Ltd)",Nabumetone
10295,"Relifex 500mg/5ml oral suspension (Meda Pharmaceuticals Ltd)",Nabumetone
10295,"Relifex 500mg/5ml oral suspension (Meda Pharmaceuticals Ltd)",Nabumetone
22206,"Nurofen Long Lasting 300mg capsules (Crookes Healthcare Ltd)",Ibuprofen
10785,"Fenbid 300mg Spansules (Mercury Pharma Group Ltd)",Ibuprofen
10785,"Fenbid 300mg Spansules (Mercury Pharma Group Ltd)",Ibuprofen
10785,"Fenbid 300mg Spansules (Mercury Pharma Group Ltd)",Ibuprofen
162,"Arthrotec 50 gastro-resistant tablets (Pfizer Ltd)","Diclofenac sodium/Misoprostol"
162,"Arthrotec 50 gastro-resistant tablets (Pfizer Ltd)","Diclofenac sodium/Misoprostol"
162,"Arthrotec 50 gastro-resistant tablets (Pfizer Ltd)","Diclofenac sodium/Misoprostol"
2387,"Arthrotec 75 gastro-resistant tablets (Pfizer Ltd)","Diclofenac sodium/Misoprostol"
2387,"Arthrotec 75 gastro-resistant tablets (Pfizer Ltd)","Diclofenac sodium/Misoprostol"
2387,"Arthrotec 75 gastro-resistant tablets (Pfizer Ltd)","Diclofenac sodium/Misoprostol"
51242,"Naproxen 500mg tablets (Pfizer Ltd)",Naproxen
407,"Brufen 600mg effervescent granules sachets (Mylan)",Ibuprofen
407,"Brufen 600mg effervescent granules sachets (Mylan)",Ibuprofen
407,"Brufen 600mg effervescent granules sachets (Mylan)",Ibuprofen
34527,"Ibuprofen 200mg tablets (Zentiva)",Ibuprofen
34527,"Ibuprofen 200mg tablets (Zentiva)",Ibuprofen
34527,"Ibuprofen 200mg tablets (Zentiva)",Ibuprofen
51828,"Ibuprofen 100mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd)",Ibuprofen
589,"Voltarol 50mg dispersible tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
589,"Voltarol 50mg dispersible tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
589,"Voltarol 50mg dispersible tablets (Novartis Pharmaceuticals UK Ltd)","Diclofenac sodium"
1231,"Ketoprofen 100mg capsules",Ketoprofen
1231,"Ketoprofen 100mg capsules",Ketoprofen
1231,"Ketoprofen 100mg capsules",Ketoprofen
6464,"Arcoxia 60mg tablets (Grunenthal Ltd)",Etoricoxib
6464,"Arcoxia 60mg tablets (Grunenthal Ltd)",Etoricoxib
6464,"Arcoxia 60mg tablets (Grunenthal Ltd)",Etoricoxib
6498,"Arcoxia 90mg tablets (Grunenthal Ltd)",Etoricoxib
6498,"Arcoxia 90mg tablets (Grunenthal Ltd)",Etoricoxib
6498,"Arcoxia 90mg tablets (Grunenthal Ltd)",Etoricoxib
9822,"Arcoxia 120mg tablets (Grunenthal Ltd)",Etoricoxib
9822,"Arcoxia 120mg tablets (Grunenthal Ltd)",Etoricoxib
9822,"Arcoxia 120mg tablets (Grunenthal Ltd)",Etoricoxib
1708,"Codafen Continus tablets (Napp Pharmaceuticals Ltd)","Ibuprofen/Codeine phosphate"
1708,"Codafen Continus tablets (Napp Pharmaceuticals Ltd)","Ibuprofen/Codeine phosphate"
11495,"Piroxicam betadex 20mg tablets","Piroxicam betadex"
11495,"Piroxicam betadex 20mg tablets","Piroxicam betadex"
11495,"Piroxicam betadex 20mg tablets","Piroxicam betadex"
2363,"Dolobid 250mg tablets (Merck Sharp & Dohme Ltd)",Diflunisal
2363,"Dolobid 250mg tablets (Merck Sharp & Dohme Ltd)",Diflunisal
7434,"Clinoril 100mg tablets (Merck Sharp & Dohme Ltd)",Sulindac
7434,"Clinoril 100mg tablets (Merck Sharp & Dohme Ltd)",Sulindac
3899,"Dolobid 500mg tablets (Merck Sharp & Dohme Ltd)",Diflunisal
3899,"Dolobid 500mg tablets (Merck Sharp & Dohme Ltd)",Diflunisal
3899,"Dolobid 500mg tablets (Merck Sharp & Dohme Ltd)",Diflunisal
13380,"Clinoril 200mg tablets (Merck Sharp & Dohme Ltd)",Sulindac
13380,"Clinoril 200mg tablets (Merck Sharp & Dohme Ltd)",Sulindac
10678,"Fenopron 300 tablets (Typharm Ltd)","Fenoprofen calcium"
10678,"Fenopron 300 tablets (Typharm Ltd)","Fenoprofen calcium"
10678,"Fenopron 300 tablets (Typharm Ltd)","Fenoprofen calcium"
10589,"Fenopron 600 tablets (Typharm Ltd)","Fenoprofen calcium"
10589,"Fenopron 600 tablets (Typharm Ltd)","Fenoprofen calcium"
10589,"Fenopron 600 tablets (Typharm Ltd)","Fenoprofen calcium"
21150,"Strefen 8.75mg lozenges (Reckitt Benckiser Healthcare (UK) Ltd)",Flurbiprofen
11550,"Nurofen Meltlets 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
11550,"Nurofen Meltlets 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
11550,"Nurofen Meltlets 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
5648,"Ibuprofen 200mg orodispersible tablets sugar free",Ibuprofen
5648,"Ibuprofen 200mg orodispersible tablets sugar free",Ibuprofen
5648,"Ibuprofen 200mg orodispersible tablets sugar free",Ibuprofen
10298,"Benoral 2g granules sachets (Sanofi-Synthelabo Ltd)",Benorilate
13893,"Nurofen Plus tablets (Reckitt Benckiser Healthcare (UK) Ltd)","Ibuprofen/Codeine phosphate"
13893,"Nurofen Plus tablets (Reckitt Benckiser Healthcare (UK) Ltd)","Ibuprofen/Codeine phosphate"
13893,"Nurofen Plus tablets (Reckitt Benckiser Healthcare (UK) Ltd)","Ibuprofen/Codeine phosphate"
25330,"Solpaflex tablets (GlaxoSmithKline Consumer Healthcare)","Ibuprofen/Codeine phosphate"
25330,"Solpaflex tablets (GlaxoSmithKline Consumer Healthcare)","Ibuprofen/Codeine phosphate"
35292,"Nurofen 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
35292,"Nurofen 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
35292,"Nurofen 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
40516,"Anadin Ultra 200mg capsules (Pfizer Consumer Healthcare Ltd)",Ibuprofen
40516,"Anadin Ultra 200mg capsules (Pfizer Consumer Healthcare Ltd)",Ibuprofen
40516,"Anadin Ultra 200mg capsules (Pfizer Consumer Healthcare Ltd)",Ibuprofen
8062,"Motifene 75mg modified-release capsules (Daiichi Sankyo UK Ltd)","Diclofenac sodium"
8062,"Motifene 75mg modified-release capsules (Daiichi Sankyo UK Ltd)","Diclofenac sodium"
8062,"Motifene 75mg modified-release capsules (Daiichi Sankyo UK Ltd)","Diclofenac sodium"
66323,"Ebretin 300mg capsules (Ranbaxy (UK) Ltd)",Etodolac
28888,"Galprofen Long Lasting 200mg capsules (Galpharm International Ltd)",Ibuprofen
28888,"Galprofen Long Lasting 200mg capsules (Galpharm International Ltd)",Ibuprofen
28888,"Galprofen Long Lasting 200mg capsules (Galpharm International Ltd)",Ibuprofen
3336,"Toradol 10mg tablets (Roche Products Ltd)","Ketorolac trometamol"
9899,"Bextra 10mg tablets (Pfizer Ltd)",Valdecoxib
9899,"Bextra 10mg tablets (Pfizer Ltd)",Valdecoxib
9912,"Bextra 20mg tablets (Pfizer Ltd)",Valdecoxib
9912,"Bextra 20mg tablets (Pfizer Ltd)",Valdecoxib
9978,"Bextra 40mg tablets (Pfizer Ltd)",Valdecoxib
9978,"Bextra 40mg tablets (Pfizer Ltd)",Valdecoxib
65121,"Fenpaed 100mg/5ml oral suspension (Pinewood Healthcare)",Ibuprofen
10625,"Indocid 5mg/ml oral suspension (Merck Sharp & Dohme Ltd)",Indometacin
24887,"Nurofen Advance 200mg tablets (Crookes Healthcare Ltd)","Ibuprofen lysine"
129,"Naprosyn 500mg suppositories (Roche Products Ltd)",Naproxen
4320,"Naprosyn 125mg/5ml oral suspension (Roche Products Ltd)",Naproxen
4309,"Ibuprofen lysine 200mg tablets","Ibuprofen lysine"
4309,"Ibuprofen lysine 200mg tablets","Ibuprofen lysine"
4309,"Ibuprofen lysine 200mg tablets","Ibuprofen lysine"
3168,"Indometacin 25mg/5ml oral suspension sugar free",Indometacin
31589,"Diclofenac sodium 75mg modified-release tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
31589,"Diclofenac sodium 75mg modified-release tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
34271,"Diclofenac sodium 100mg modified-release tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
34271,"Diclofenac sodium 100mg modified-release tablets (A A H Pharmaceuticals Ltd)","Diclofenac sodium"
34190,"Indometacin 75mg modified-release capsules (A A H Pharmaceuticals Ltd)",Indometacin
34190,"Indometacin 75mg modified-release capsules (A A H Pharmaceuticals Ltd)",Indometacin
49432,"Calprofen 100mg/5ml oral suspension (McNeil Products Ltd)",Ibuprofen
49432,"Calprofen 100mg/5ml oral suspension (McNeil Products Ltd)",Ibuprofen
49432,"Calprofen 100mg/5ml oral suspension (McNeil Products Ltd)",Ibuprofen
28168,"Nurofen Recovery 200mg orodispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
23425,"Nurofen Migraine Pain 342mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)","Ibuprofen lysine"
51769,"Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets orange (Reckitt Benckiser Healthcare (UK) Ltd)",Ibuprofen
15363,"Nurofen Cold and Flu tablets (Reckitt Benckiser Healthcare (UK) Ltd)","Ibuprofen/Pseudoephedrine hydrochloride"
48562,"Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free",Ibuprofen
48562,"Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free",Ibuprofen
48562,"Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free",Ibuprofen
28172,"Ibuprofen 300mg / Pseudoephedrine 45mg modified-release capsules","Pseudoephedrine hydrochloride/Ibuprofen"
28172,"Ibuprofen 300mg / Pseudoephedrine 45mg modified-release capsules","Pseudoephedrine hydrochloride/Ibuprofen"
24356,"Eccoxolac 300mg capsules (Meda Pharmaceuticals Ltd)",Etodolac
24356,"Eccoxolac 300mg capsules (Meda Pharmaceuticals Ltd)",Etodolac
24356,"Eccoxolac 300mg capsules (Meda Pharmaceuticals Ltd)",Etodolac
167,"Butacote 100mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)",Phenylbutazone
29352,"Ibuprofen 100mg/5ml oral suspension sugar free (Vantage)",Ibuprofen
29352,"Ibuprofen 100mg/5ml oral suspension sugar free (Vantage)",Ibuprofen
29352,"Ibuprofen 100mg/5ml oral suspension sugar free (Vantage)",Ibuprofen
44730,"Mentholatum Ibuprofen 5% gel (The Mentholatum Company Ltd)",Ibuprofen
66757,"Celebrex 200mg capsules (Waymade Healthcare Plc)",Celecoxib
71104,"Oruvail 200 modified-release capsules (Waymade Healthcare Plc)",Ketoprofen
55505,"Naproxen 250mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)",Naproxen
74005,"Oruvail 200 modified-release capsules (Dowelhurst Ltd)",Ketoprofen
71152,"Mobiflex 20mg tablets (Dowelhurst Ltd)",Tenoxicam
53145,"Vioxx 12.5mg tablets (Dowelhurst Ltd)",Rofecoxib
67786,"Vioxx 25mg tablets (Dowelhurst Ltd)",Rofecoxib
31787,"Econac SR 75mg tablets (AMCo)","Diclofenac sodium"
31787,"Econac SR 75mg tablets (AMCo)","Diclofenac sodium"
31787,"Econac SR 75mg tablets (AMCo)","Diclofenac sodium"
